id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2021-08-02T06:05:26;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2021-08-02T10:02:18;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2021-08-01T19:05:42;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2021-08-01T14:35:19;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2021-08-02T09:13:13;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2021-08-01T17:59:25;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2021-08-01T20:29:33;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2021-08-02T10:32:57;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2021-08-02T01:53:36;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2021-08-01T14:33:46;32637;8639
